0, -82.5, -177.5, Ross Sea, Arctic: Within the Antarctic Circle, South Polar Gyre Current
49, -72.5, -32.5, Weddell Sea, Arctic: Within the Antarctic Circle, South Polar Gyre Current
50, -72.5, -27.5, Weddell Sea, Arctic: Within the Antarctic Circle, South Polar Gyre Current
51, -72.5, -22.5, Weddell Sea, Arctic: Within the Antarctic Circle, South Polar Gyre Current
52, -72.5, -17.5, Weddell Sea, Arctic: Within the Antarctic Circle, South Polar Gyre Current
53, -72.5, -12.5, Weddell Sea, Arctic: Within the Antarctic Circle, South Polar Gyre Current
54, -72.5, 172.5, Ross Sea, Arctic: Within the Antarctic Circle, South Polar Gyre Current
55, -72.5, 177.5, Ross Sea, Arctic: Within the Antarctic Circle, South Polar Gyre Current
56, -67.5, -177.5, Southern Ocean, Arctic: Within the Antarctic Circle, South Polar Gyre Current
57, -67.5, -172.5, Southern Ocean, Arctic: Within the Antarctic Circle, South Polar Gyre Current
58, -67.5, -167.5, Southern Ocean, Arctic: Within the Antarctic Circle, South Polar Gyre Current
59, -67.5, -162.5, Southern Ocean, Arctic: Within the Antarctic Circle, South Polar Gyre Current
60, -67.5, -157.5, Southern Ocean, Arctic: Within the Antarctic Circle, South Polar Gyre Current
61, -67.5, -152.5, Southern Ocean, Arctic: Within the Antarctic Circle, South Polar Gyre Current
62, -67.5, -147.5, Southern Ocean, Arctic: Within the Antarctic Circle, South Polar Gyre Current
63, -67.5, -142.5, Southern Ocean, Arctic: Within the Antarctic Circle, South Polar Gyre Current
64, -67.5, -137.5, Southern Ocean, Arctic: Within the Antarctic Circle, South Polar Gyre Current
65, -67.5, -132.5, Southern Ocean, Arctic: Within the Antarctic Circle, South Polar Gyre Current
66, -67.5, -127.5, Southern Ocean, Arctic: Within the Antarctic Circle, South Polar Gyre Current
67, -67.5, -122.5, Southern Ocean, Arctic: Within the Antarctic Circle, South Polar Gyre Current
68, -67.5, -117.5, Southern Ocean, Arctic: Within the Antarctic Circle, South Polar Gyre Current
69, -67.5, -112.5, Southern Ocean, Arctic: Within the Antarctic Circle, South Polar Gyre Current
70, -67.5, -107.5, Southern Ocean, Arctic: Within the Antarctic Circle, South Polar Gyre Current
71, -67.5, -102.5, Southern Ocean, Arctic: Within the Antarctic Circle, South Polar Gyre Current
72, -67.5, -97.5, Southern Ocean, Arctic: Within the Antarctic Circle, South Polar Gyre Current
73, -67.5, -92.5, Southern Ocean, Arctic: Within the Antarctic Circle, South Polar Gyre Current
74, -67.5, -87.5, Southern Ocean, Arctic: Within the Antarctic Circle, South Polar Gyre Current
75, -67.5, -82.5, Southern Ocean, Arctic: Within the Antarctic Circle, South Polar Gyre Current
76, -67.5, -77.5, Southern Ocean, Arctic: Within the Antarctic Circle, South Polar Gyre Current
77, -67.5, -72.5, Southern Ocean, Arctic: Within the Antarctic Circle, South Polar Gyre Current
78, -67.5, -62.5, Southern Ocean, Arctic: Within the Antarctic Circle, Weddell Sea Gyre
79, -67.5, -57.5, Southern Ocean, Arctic: Within the Antarctic Circle, South Polar Gyre Current
80, -67.5, -52.5, Southern Ocean, Arctic: Within the Antarctic Circle, South Polar Gyre Current
81, -67.5, -47.5, Southern Ocean, Arctic: Within the Antarctic Circle, South Polar Gyre Current
82, -67.5, -42.5, Southern Ocean, Arctic: Within the Antarctic Circle, South Polar Gyre Current
83, -67.5, -37.5, Southern Ocean, Arctic: Within the Antarctic Circle, South Polar Gyre Current
84, -67.5, -32.5, Southern Ocean, Arctic: Within the Antarctic Circle, South Polar Gyre Current
85, -67.5, -27.5, Southern Ocean, Arctic: Within the Antarctic Circle, South Polar Gyre Current
86, -67.5, -22.5, Southern Ocean, Arctic: Within the Antarctic Circle, South Polar Gyre Current
87, -67.5, -17.5, Southern Ocean, Arctic: Within the Antarctic Circle, South Polar Gyre Current
88, -67.5, -12.5, Southern Ocean, Arctic: Within the Antarctic Circle, South Polar Gyre Current
89, -67.5, -7.5, Southern Ocean, Arctic: Within the Antarctic Circle, South Polar Gyre Current
90, -67.5, -2.5, Southern Ocean, Arctic: Within the Antarctic Circle, South Polar Gyre Current
91, -67.5, 2.5, Southern Ocean, Arctic: Within the Antarctic Circle, South Polar Gyre Current
92, -67.5, 7.5, Southern Ocean, Arctic: Within the Antarctic Circle, South Polar Gyre Current
93, -67.5, 12.5, Southern Ocean, Arctic: Within the Antarctic Circle, South Polar Gyre Current
94, -67.5, 17.5, Southern Ocean, Arctic: Within the Antarctic Circle, South Polar Gyre Current
95, -67.5, 22.5, Southern Ocean, Arctic: Within the Antarctic Circle, South Polar Gyre Current
96, -67.5, 27.5, Southern Ocean, Arctic: Within the Antarctic Circle, South Polar Gyre Current
97, -67.5, 32.5, Southern Ocean, Arctic: Within the Antarctic Circle, South Polar Gyre Current
98, -67.5, 37.5, Southern Ocean, Arctic: Within the Antarctic Circle, South Polar Gyre Current
99, -67.5, 42.5, Southern Ocean, Arctic: Within the Antarctic Circle, South Polar Gyre Current
100, -67.5, 62.5, Southern Ocean, Arctic: Within the Antarctic Circle, South Polar Gyre Current
101, -67.5, 67.5, Southern Ocean, Arctic: Within the Antarctic Circle, South Polar Gyre Current
102, -67.5, 72.5, Southern Ocean, Arctic: Within the Antarctic Circle, South Polar Gyre Current
103, -67.5, 77.5, Southern Ocean, Arctic: Within the Antarctic Circle, South Polar Gyre Current
104, -67.5, 82.5, Southern Ocean, Arctic: Within the Antarctic Circle, South Polar Gyre Current
105, -67.5, 147.5, Southern Ocean, Arctic: Within the Antarctic Circle, South Polar Gyre Current
106, -67.5, 152.5, Southern Ocean, Arctic: Within the Antarctic Circle, South Polar Gyre Current
107, -67.5, 157.5, Southern Ocean, Arctic: Within the Antarctic Circle, South Polar Gyre Current
108, -67.5, 162.5, Southern Ocean, Arctic: Within the Antarctic Circle, South Polar Gyre Current
109, -67.5, 167.5, Southern Ocean, Arctic: Within the Antarctic Circle, South Polar Gyre Current
110, -67.5, 172.5, Southern Ocean, Arctic: Within the Antarctic Circle, South Polar Gyre Current
111, -67.5, 177.5, Southern Ocean, Arctic: Within the Antarctic Circle, South Polar Gyre Current
112, -62.5, -177.5, Southern Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, West Wind Drift
113, -62.5, -172.5, Southern Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, West Wind Drift
114, -62.5, -167.5, Southern Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, West Wind Drift
115, -62.5, -162.5, Southern Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, West Wind Drift
116, -62.5, -157.5, Southern Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, West Wind Drift
117, -62.5, -152.5, Southern Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, West Wind Drift
118, -62.5, -147.5, Southern Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, West Wind Drift
119, -62.5, -142.5, Southern Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, West Wind Drift
120, -62.5, -137.5, Southern Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, West Wind Drift
121, -62.5, -132.5, Southern Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, West Wind Drift
122, -62.5, -127.5, Southern Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, West Wind Drift
123, -62.5, -122.5, Southern Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, West Wind Drift
124, -62.5, -117.5, Southern Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, West Wind Drift
125, -62.5, -112.5, Southern Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, West Wind Drift
126, -62.5, -107.5, Southern Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, West Wind Drift
127, -62.5, -102.5, Southern Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, West Wind Drift
128, -62.5, -97.5, Southern Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, West Wind Drift
129, -62.5, -92.5, Southern Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, West Wind Drift
130, -62.5, -87.5, Southern Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, West Wind Drift
131, -62.5, -82.5, Southern Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, West Wind Drift
132, -62.5, -77.5, Southern Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, West Wind Drift & Weddell Sea Gyre
133, -62.5, -72.5, Southern Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, West Wind Drift
134, -62.5, -67.5, Southern Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, West Wind Drift
135, -62.5, -62.5, Southern Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, West Wind Drift
136, -62.5, -57.5, Bransfield Strait, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, West Wind Drift
137, -62.5, -52.5, Southern Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, West Wind Drift
138, -62.5, -47.5, Southern Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, West Wind Drift
139, -62.5, -42.5, Southern Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, West Wind Drift
140, -62.5, -37.5, Southern Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, West Wind Drift
141, -62.5, -32.5, Southern Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, West Wind Drift & Falkland Cold Current
142, -62.5, -27.5, Southern Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, West Wind Drift & Weddell Sea Gyre
143, -62.5, -22.5, Southern Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, West Wind Drift
144, -62.5, -17.5, Southern Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, West Wind Drift & Weddell Sea Gyre
145, -62.5, -12.5, Southern Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, West Wind Drift & Weddell Sea Gyre
146, -62.5, -7.5, Southern Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, West Wind Drift
147, -62.5, -2.5, Southern Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, West Wind Drift & Falkland Cold Current
148, -62.5, 2.5, Southern Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, West Wind Drift
149, -62.5, 7.5, Southern Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, West Wind Drift
150, -62.5, 12.5, Southern Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, West Wind Drift
151, -62.5, 17.5, Southern Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, West Wind Drift
152, -62.5, 22.5, Southern Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, West Wind Drift
153, -62.5, 27.5, Southern Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, West Wind Drift
154, -62.5, 32.5, Southern Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, West Wind Drift
155, -62.5, 37.5, Southern Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, West Wind Drift
156, -62.5, 42.5, Southern Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, West Wind Drift
157, -62.5, 47.5, Southern Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, West Wind Drift
158, -62.5, 52.5, Southern Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, West Wind Drift
159, -62.5, 57.5, Southern Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, West Wind Drift
160, -62.5, 62.5, Southern Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, West Wind Drift
161, -62.5, 67.5, Southern Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, West Wind Drift
162, -62.5, 72.5, Southern Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, West Wind Drift
163, -62.5, 77.5, Southern Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, West Wind Drift
164, -62.5, 82.5, Southern Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, West Wind Drift
165, -62.5, 87.5, Southern Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, West Wind Drift
166, -62.5, 92.5, Southern Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, West Wind Drift
167, -62.5, 97.5, Southern Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, West Wind Drift
168, -62.5, 102.5, Southern Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, West Wind Drift
169, -62.5, 107.5, Southern Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, West Wind Drift
170, -62.5, 112.5, Southern Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, West Wind Drift
171, -62.5, 117.5, Southern Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, West Wind Drift
172, -62.5, 122.5, Southern Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, West Wind Drift
173, -62.5, 127.5, Southern Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, West Wind Drift
174, -62.5, 132.5, Southern Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, West Wind Drift
175, -62.5, 137.5, Southern Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, West Wind Drift
176, -62.5, 142.5, Southern Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, West Wind Drift
177, -62.5, 147.5, Southern Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, West Wind Drift
178, -62.5, 152.5, Southern Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, West Wind Drift
179, -62.5, 157.5, Southern Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, West Wind Drift
180, -62.5, 162.5, Southern Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, West Wind Drift
181, -62.5, 167.5, Southern Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, West Wind Drift
182, -62.5, 172.5, Southern Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, West Wind Drift
183, -62.5, 177.5, Southern Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, West Wind Drift
184, -57.5, -177.5, Pacific Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, West Wind Drift
185, -57.5, -172.5, Pacific Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, West Wind Drift
186, -57.5, -167.5, Pacific Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, West Wind Drift
187, -57.5, -162.5, Pacific Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, West Wind Drift
188, -57.5, -157.5, Pacific Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, West Wind Drift
189, -57.5, -152.5, Pacific Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, West Wind Drift
190, -57.5, -147.5, Pacific Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, West Wind Drift
191, -57.5, -142.5, Pacific Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, West Wind Drift
192, -57.5, -137.5, Pacific Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, West Wind Drift
193, -57.5, -132.5, Pacific Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, Peru Cold Current (Humboldt Current)
194, -57.5, -127.5, Pacific Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, West Wind Drift
195, -57.5, -122.5, Pacific Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, West Wind Drift
196, -57.5, -117.5, Pacific Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, West Wind Drift
197, -57.5, -112.5, Pacific Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, West Wind Drift
198, -57.5, -107.5, Pacific Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, West Wind Drift
199, -57.5, -102.5, Pacific Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, West Wind Drift
200, -57.5, -97.5, Pacific Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, West Wind Drift
201, -57.5, -92.5, Pacific Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, West Wind Drift
202, -57.5, -87.5, Pacific Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, West Wind Drift
203, -57.5, -82.5, Pacific Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, West Wind Drift
204, -57.5, -77.5, Pacific Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, West Wind Drift
205, -57.5, -72.5, Pacific Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, West Wind Drift
206, -57.5, -67.5, Atlantic Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, 合恩角寒流
207, -57.5, -62.5, Atlantic Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, West Wind Drift
208, -57.5, -57.5, Atlantic Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, West Wind Drift
209, -57.5, -52.5, Atlantic Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, West Wind Drift
210, -57.5, -47.5, Atlantic Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, West Wind Drift & Weddell Sea Gyre
211, -57.5, -42.5, Atlantic Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, West Wind Drift
212, -57.5, -37.5, Atlantic Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, West Wind Drift
213, -57.5, -32.5, Atlantic Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, West Wind Drift
214, -57.5, -27.5, Atlantic Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, West Wind Drift
215, -57.5, -22.5, Atlantic Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, West Wind Drift
216, -57.5, -17.5, Atlantic Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, West Wind Drift
217, -57.5, -12.5, Atlantic Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, West Wind Drift
218, -57.5, -7.5, Atlantic Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, West Wind Drift & Weddell Sea Gyre
219, -57.5, -2.5, Atlantic Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, West Wind Drift
220, -57.5, 2.5, Atlantic Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, West Wind Drift
221, -57.5, 7.5, Atlantic Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, Weddell Sea Gyre
222, -57.5, 12.5, Atlantic Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, West Wind Drift
223, -57.5, 17.5, Atlantic Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, West Wind Drift
224, -57.5, 22.5, Indian Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, West Wind Drift
225, -57.5, 27.5, Indian Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, West Wind Drift
226, -57.5, 32.5, Indian Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, West Wind Drift
227, -57.5, 37.5, Indian Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, West Wind Drift
228, -57.5, 42.5, Indian Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, West Wind Drift
229, -57.5, 47.5, Indian Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, West Wind Drift
230, -57.5, 52.5, Indian Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, West Wind Drift
231, -57.5, 57.5, Indian Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, West Wind Drift
232, -57.5, 62.5, Indian Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, West Wind Drift
233, -57.5, 67.5, Indian Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, West Wind Drift
234, -57.5, 72.5, Indian Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, West Wind Drift
235, -57.5, 77.5, Indian Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, West Wind Drift
236, -57.5, 82.5, Indian Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, West Wind Drift
237, -57.5, 87.5, Indian Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, West Wind Drift
238, -57.5, 92.5, Indian Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, West Wind Drift
239, -57.5, 97.5, Indian Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, West Wind Drift
240, -57.5, 102.5, Indian Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, West Wind Drift
241, -57.5, 107.5, Indian Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, West Wind Drift
242, -57.5, 112.5, Indian Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, West Wind Drift
243, -57.5, 117.5, Indian Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, West Wind Drift
244, -57.5, 122.5, Indian Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, West Wind Drift
245, -57.5, 127.5, Indian Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, West Wind Drift
246, -57.5, 132.5, Indian Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, West Wind Drift
247, -57.5, 137.5, Indian Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, West Wind Drift
248, -57.5, 142.5, Indian Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, West Wind Drift
249, -57.5, 147.5, Indian Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, West Wind Drift
250, -57.5, 152.5, Indian Ocean, Temperate Zone: Between the Tropic of Capricorn and the Antarctic Circle, West Wind Drift
